date,location,subject_statuses,subject_weapon,subject_race,subject_gender,latitude,longitude,month,season,officer_count_cat,street
2014-09-07,1550 Empire Central,Deceased,Vehicle,White,M,32.82657,-96.864537,9,autumn,alone, Empire Central
2014-06-14,208 Glencairn Drive,Deceased,other,Black,F,32.65772,-96.825258,6,summer,alone, Glencairn Drive
2008-01-12,3330 Pluto Street,Injured,Unarmed,Black,M,32.78321,-96.891884,1,winter,alone, Pluto Street
2011-12-27,3700 Penelope Street,Deceased,Handgun,Black,M,32.77135,-96.752516,12,winter,alone, Penelope Street
2004-03-05,5757 Preston View Boulevard,Shoot and Miss,Unarmed,Latin,M,32.93499,-96.808497,3,spring,alone, Preston View Boulevard
2012-07-24,3803 Mural Lane,Deceased,Unarmed,Black,M,32.76369,-96.733512,7,summer,alone, Mural Lane
2014-10-22,9770 Forest Lane,Shoot and Miss,Unarmed,Black,M,32.90941,-96.718739,10,autumn,alone, Forest Lane
2008-06-21,18081 Midway Road,Injured,Toy/Air gun,White,M,32.99479,-96.84388,6,summer,2 to 3, Midway Road
2006-11-24,7740 McCallum Boulevard,Injured,Handgun,Latin,M,32.98785,-96.772993,11,autumn,alone, McCallum Boulevard
2013-09-14,2825 Oak Lawn Avenue,Injured,Handgun,Black,M,32.8076,-96.810215,9,autumn,alone, Oak Lawn Avenue
2013-03-15,9147 Skillman Street,Shoot and Miss,Toy/Air gun,Black,M,32.9021,-96.717073,3,spring,alone, Skillman Street
2013-10-02,1339 Morrell Avenue,Shoot and Miss,Handgun,Black,M,32.73914,-96.803885,10,autumn,2 to 3, Morrell Avenue
2004-12-29,2400 Walnut Hill Lane,Shoot and Miss,Vehicle,White,M,32.881,-96.896428,12,winter,alone, Walnut Hill Lane
2013-04-15,12100 Bellafonte Drive,Shoot and Miss,Handgun,Black,M,32.9134,-96.761447,4,spring,2 to 3, Bellafonte Drive
2004-07-26,325 Cadiz Street,Shoot and Miss,Vehicle,Black,M,32.76771,-96.802392,7,summer,alone, Cadiz Street
2012-02-02,2502 Grand Avenue,Injured,Handgun,Black,M,32.76892,-96.774809,2,winter,2 to 3, Grand Avenue
2009-05-24,3812 Tioga Street,Injured,Handgun,Black,M,32.66415,-96.757478,5,spring,2 to 3, Tioga Street
2012-06-02,3600 Folklore Trail,Deceased,Handgun,Black,M,32.69866,-96.84111,6,summer,alone, Folklore Trail
2003-06-03,12700 Kleberg Road,Deceased,Shotgun/Rifle,Latin,M,32.67422,-96.617694,6,summer,more than 3, Kleberg Road
2003-07-28,8701 Greenmound Avenue,Injured,Handgun,Black,M,32.75068,-96.672367,7,summer,alone, Greenmound Avenue
2012-08-03,3851 Casa Del Sol Lane,Injured,Handgun,Latin,M,32.85154,-96.654635,8,summer,2 to 3, Casa Del Sol Lane
2007-05-16,5400 E. R.L. Thornton Freeway,Deceased,Handgun,White,M,32.79081,-96.748949,5,spring,more than 3, E. R.L. Thornton Freeway
2005-08-19,"500 Steeger Drive Duncanville, Texas",Deceased,Handgun,White,M,32.78263,-96.803756,8,summer,alone," Steeger Drive Duncanville, Texas"
2012-12-06,9500 Castlefield Drive,Deceased,Shotgun/Rifle,Black,M,32.75227,-96.660059,12,winter,2 to 3, Castlefield Drive
2010-03-10,4200 Malden Street,Deceased,Shotgun/Rifle,Black,M,32.69331,-96.806827,3,spring,2 to 3, Malden Street
2013-03-10,3303 Southern Oaks Boulevard,Deceased,Unarmed,Black,M,32.71845,-96.773914,3,spring,alone, Southern Oaks Boulevard
2012-10-28,800 N. Winnetka Avenue,Injured,Handgun,White,M,32.75237,-96.840285,10,autumn,alone, N. Winnetka Avenue
2006-04-29,2700 Springdale Street,Shoot and Miss,Handgun,Black,M,32.7686,-96.750995,4,spring,alone, Springdale Street
2003-01-17,3800 Dilido Road,Shoot and Miss,Handgun,White,M,32.79855,-96.688211,1,winter,alone, Dilido Road
2010-06-28,13015 Audelia Road,Deceased,Unarmed,White,M,32.92476,-96.718159,6,summer,alone, Audelia Road
2010-12-22,9616 C. F. Hawn Freeway,Shoot and Miss,Unarmed,Latin,M,32.70258,-96.656112,12,winter,alone, C. F. Hawn Freeway
2007-05-22,8131 L.B.J. Freeway,Injured,Vehicle,White,M,32.92496,-96.765308,5,spring,alone, L.B.J. Freeway
2005-11-10,2514 Tristian Court,Injured,Unarmed,Latin,M,32.71769,-96.910913,11,autumn,alone, Tristian Court
2009-05-09,2100 N. Lamar Street,Shoot and Miss,Vehicle,Latin,M,32.78449,-96.807949,5,spring,alone, N. Lamar Street
2013-09-06,8000 C. F. Hawn Freeway,Injured,Handgun,Latin,M,32.71527,-96.685849,9,autumn,alone, C. F. Hawn Freeway
2003-10-18,3050 W. Pentagon Parkway,Shoot and Miss,Shotgun/Rifle,Black,M,32.70646,-96.873091,10,autumn,alone, W. Pentagon Parkway
2011-12-28,11700 Audelia Road,Shoot and Miss,Unarmed,Black,M,32.90855,-96.71764,12,winter,alone, Audelia Road
